,id,name,comics.available,series.available,stories.available,events.available
20,1011308,Kinsey Walden,0,0,0,0
21,1009508,Kitty Pryde,355,128,372,14
22,1017476,Kitty Pryde (X-Men: Battle of the Atom),0,0,0,0
23,1009390,Klaw,47,28,51,1
24,1010818,Komodo (Melati Kusuma),20,2,24,4
25,1011147,Korath,5,3,5,1
26,1011080,Korg,18,3,17,2
27,1011312,Korvac,15,9,17,0
28,1013133,Krakoa,23,6,23,1
29,1009391,Kraven the Hunter,75,41,86,1
30,1011148,Kree,24,17,26,1
31,1015017,Krista Starr,0,0,0,0
32,1011178,Kronos,0,0,0,0
33,1011029,Kulan Gath,5,3,5,0
34,1013163,Kwannon,1,1,1,0
35,1011058,Kylun,0,0,0,0
0,1009392,La Nuit,2,2,2,0
1,1011327,Lady Bullseye,33,8,38,2
2,1009393,Lady Deathstrike,93,34,97,2
3,1011014,Lady Mastermind,3,1,5,0
4,1014977,Lady Ursula,0,0,0,0
5,1014976,Lady Vermin,0,0,0,0
6,1009394,Lake,0,0,0,0
7,1009395,Landau,0,0,0,0
8,1009397,Lava-Man,1,1,1,0
9,1011100,Layla Miller,41,4,42,3
10,1009398,Leader,49,16,68,2
11,1011092,Leech,4,2,4,2
12,1009399,Legion,97,33,107,5
13,1011403,"Lei Kung, The Thunderer",7,2,9,0
14,1009166,Lenny Balinger,0,0,0,0
15,1011186,Leo (Zodiac),0,0,0,0
16,1010340,Leopardon,0,0,0,0
17,1011375,Leper Queen,1,1,1,0
18,1014988,Lester,0,0,0,0
19,1011421,Lethal Legion,12,8,9,1
20,1010977,Lieutenant Marcus Stone,1,1,1,0
21,1009401,Lifeguard,4,1,8,0
22,1011408,Lightning Lords of Nepal,1,1,1,0
23,1010450,Lightspeed,37,9,44,2
24,1009236,Lila Cheney,8,7,7,0
25,1009402,Lilandra,114,41,104,5
26,1011074,Lilith,6,5,11,0
27,1011257,Lily Hollister,9,1,12,1
28,1010337,Lionheart,8,3,7,0
29,1011444,Living Laser,24,15,28,1
30,1010854,Living Lightning,21,9,21,0
31,1011036,Living Mummy,9,5,9,0
32,1011059,Living Tribunal,6,5,5,0
33,1009403,Liz Osborn,12,7,10,2
34,1009404,Lizard,93,34,104,3
35,1010939,Lizard (Ultimate),2,2,2,0
36,1011414,Loa,6,3,11,1
37,1009405,Lockheed,66,24,69,4
38,1009406,Lockjaw,82,46,94,3
39,1010363,Logan,31,13,30,0
40,1009407,Loki,410,165,480,9
41,1017299,Loki (LEGO Marvel Super Heroes),0,0,0,0
42,1010768,Loners,6,1,6,0
43,1009408,Longshot,86,26,105,5
44,1010940,Longshot (Ultimate),4,1,7,0
45,1011145,Lord Hawal,1,1,1,1
46,1014980,Lord Tyger,0,0,0,0
47,1011283,Lords of Avalon,0,0,2,0
48,1009260,Lorna Dane,8,5,5,0
49,1009409,Luckman,0,0,0,0
50,1011405,Lucky Pierre,1,1,1,0
51,1010751,Lucy in the Sky,0,0,0,0
52,1009215,Luke Cage,396,137,415,15
53,1011200,Luminals,0,0,0,0
54,1017854,Luna Snow (Luna Snow),14,7,15,0
55,1010896,Lyja,28,5,54,0
0,1011068,M (Monet St. Croix),41,9,46,2
1,1011004,M.O.D.A.M.,5,3,7,0
2,1011320,M.O.D.O.G.,2,2,1,0
3,1010726,M.O.D.O.K.,51,29,62,2
4,1017321,M.O.D.O.K. (Iron Man 3 - The Official Game),0,0,0,0
5,1009418,Ma Gnuci,2,1,2,0
6,1009314,Mac Gargan,0,0,0,0
7,1010851,Mach IV,8,4,14,1
8,1010805,Machine Man,94,27,116,1
9,1009411,Mad Thinker,34,21,34,0
10,1009412,Madame Hydra,16,11,18,0
11,1010352,Madame Masque,33,16,38,3
12,1010796,Madame Web (Julia Carpenter),1,1,1,0
13,1010724,Maddog,1,1,1,0
14,1009509,Madelyne Pryor,21,9,24,4
15,1011205,Madripoor,1,1,1,0
16,1009413,Madrox,93,14,98,3
17,1011053,Maelstrom,4,3,4,0
18,1011328,Maestro,28,9,28,0
19,1010867,Magdalene,7,3,9,1
20,1009414,Maggott,28,6,37,0
21,1010942,Magik (Amanda Sefton),2,2,2,2
22,1009415,Magik (Illyana Rasputin),115,44,131,8
23,1011135,Maginty,0,0,0,0
24,1009416,Magma (Amara Aquilla),63,24,71,5
25,1009417,Magneto,469,169,507,21
26,1010944,Magneto (Age of Apocalypse),9,5,10,1
27,1010945,Magneto (House of M),10,7,8,1
28,1010943,Magneto (Ultimate),36,10,51,0
29,1017477,Magneto (X-Men: Battle of the Atom),0,0,0,0
30,1010904,Magus (Adam Warlock),17,9,21,3
31,1011364,Magus (Technarch),4,2,4,0
32,1011085,Major Mapleleaf,0,0,0,0
33,1010725,Makkari,18,7,18,0
34,1009242,Malcolm Colcord,9,1,10,0
35,1013479,Malekith,17,15,18,0
36,1011229,Malice (Earth-161),0,0,0,0
37,1009420,Man-Thing,150,54,185,2
38,1010811,Man-Wolf,29,15,28,0
39,1009421,Mandarin,80,29,102,1
40,1011243,Mandrill,1,1,1,1
41,1009422,Mandroid,2,2,1,0
42,1009423,Manta,9,7,5,1
43,1011026,Mantis,52,15,58,4
44,1009424,Marauders,22,15,25,2
45,1015018,Marcus Van Sciver,0,0,0,0
46,1011335,Maria Hill,100,29,121,8
47,1009735,Mariko Yashida,19,12,19,1
48,1009425,Marrow,84,24,105,1
49,1011173,Marten Broadcloak,0,0,0,0
50,1011263,Martin Li,0,0,0,0
51,1011350,Marvel Apes,9,2,13,0
52,1009427,Marvel Boy,50,24,89,4
53,1011002,Marvel Zombies,31,11,43,0
54,1011417,Marvex,1,1,3,0
55,1009708,Mary Jane Watson,414,89,452,9
56,1010993,Mary Jane Watson (House of M),2,1,1,0
57,1011203,Mary Jane Watson (Ultimate),45,16,36,0
58,1010869,Masked Marvel (Unrevealed),3,2,2,0
59,1010367,Masque,35,12,34,3
60,1010732,Master Chief,6,3,6,0
61,1009433,Master Mold,9,6,9,0
62,1009434,Mastermind,46,21,42,1
63,1011279,Masters of Evil,24,8,23,0
64,1010877,Mathemanic,0,0,0,0
65,1009677,Matsu'o Tsurayaba,0,0,0,0
66,1009463,Matthew Murdock,28,13,35,1
67,1010793,Mattie Franklin,0,0,0,0
68,1009436,Mauler,5,4,7,0
69,1010947,Maverick (Chris Bradley),5,2,5,0
70,1009437,Maverick (Christoph Nord),7,3,6,0
71,1011305,Maximus,28,13,28,5
72,1009490,May Parker,168,41,185,5
73,1009438,Medusa,164,78,177,10
74,1011399,Meggan,21,13,22,1
75,1009439,Meltdown,70,12,95,1
76,1011241,Menace,41,4,52,1
77,1011099,Mentallo,3,2,3,0
78,1011184,Mentor,2,2,2,1
79,1009440,Mephisto,119,52,136,3
80,1009441,Mephistopheles,0,0,0,0
81,1010681,Mercury,20,11,17,2
82,1009442,Mesmero,32,21,30,0
83,1009443,Metal Master,0,0,0,0
84,1010361,Meteorite,1,1,1,0
85,1011340,MI: 13,0,0,0,0
86,1009444,Micro/Macro,0,0,0,0
87,1010690,Microbe,6,1,12,0
88,1011134,Microchip,12,5,12,0
89,1010871,Micromax,6,4,5,0
90,1010891,Midnight (Earth-811),0,0,0,0
91,1010924,Miek,3,2,3,1
92,1009530,Mikhail Rasputin,10,6,13,1
93,1011192,Millenium Guard,0,0,0,0
94,1010894,Millie the Model,31,3,289,0
95,1009445,Mimic,36,13,41,1
96,1011204,Mindworm,1,1,2,0
97,1013727,Miracleman,0,0,0,0
98,1011424,Miss America,50,5,52,0
99,1009446,Mister Fear,4,3,5,0
0,1009447,Mister Sinister,109,51,111,6
1,1017318,Mister Sinister (Deadpool),0,0,0,0
2,1010948,Mister Sinister (House of M),0,0,0,0
3,1011254,Mister Sinister (Ultimate),3,1,6,0
4,1010682,Misty Knight,174,61,190,6
5,1011220,Mockingbird,91,41,93,5
6,1009410,Moira MacTaggert,35,21,30,3
7,1010941,Moira MacTaggert (Ultimate),2,1,4,0
8,1009448,Mojo,51,31,55,2
9,1009449,Mole Man,68,41,76,1
10,1011019,Molecule Man,9,6,10,1
11,1010691,Molly Hayes,17,10,15,2
12,1009541,Molly Von Richtofen,2,1,2,0
13,1011370,Molten Man,7,4,7,1
14,1010876,Mongoose,2,2,3,0
15,1009450,Mongu (Unrevealed),0,0,0,0
16,1010331,Monster Badoon,2,1,2,0
17,1017814,Moon Girl (Lunella Layfayette),87,32,90,1
18,1009452,Moon Knight,309,95,369,6
19,1010949,Moon Knight (House of M),1,1,1,0
20,1014998,Moon Knight (Ultimate),8,4,8,0
21,1009451,Moondragon,78,30,93,4
22,1010362,Moonstone,38,20,42,4
23,1009454,Morbius,109,45,121,3
24,1010902,Mordo,1,1,2,0
25,1009455,Morg,6,2,6,0
26,1013190,Morgan Le Fay,14,9,13,1
27,1009623,Morgan Stark,4,2,7,0
28,1011008,Morlocks,9,6,10,0
29,1011088,Morlun,7,5,12,2
30,1009456,Morph,21,12,23,1
31,1009457,Mother Askani,9,3,11,0
32,1009458,Mr. Bumpo,0,0,0,0
33,1009459,Mr. Fantastic,587,180,783,20
34,1010950,Mr. Fantastic (Ultimate),52,21,68,0
